,Date,Type,Title,Amount,Note,Category,Subcategory,Account,Tags
2573,31-05-2022,1,,220.0,,Stomatolog,Zdrowie i uroda,Konto osobiste,
2574,31-05-2022,1,,21.99,,Kosmetyki,Zdrowie i uroda,Konto osobiste,
2575,31-05-2022,1,,28.96,,Jedzenie,,Konto osobiste,
2576,31-05-2022,1,,110.38,,Telefony,Rodzice,Konto osobiste,
2577,31-05-2022,1,,71.0,,Telefony,Rodzice,Konto osobiste,
2578,31-05-2022,1,,219.34,,Oszcz�dno�ci,,Konto osobiste,
2579,31-05-2022,0,,219.34,,,,Konto oszcz�dno�ciowe ,
2580,02-06-2022,1,,28.0,,Prezenty,,Konto osobiste,
2581,02-06-2022,1,,24.62,,Jedzenie,,Konto osobiste,
2582,02-06-2022,1,,26.48,,Dom,,Konto osobiste,
2583,02-06-2022,1,,24.91,,Jedzenie,,Konto osobiste,
2584,03-06-2022,1,,18.0,,Jedzenie,,Konto osobiste,
2585,04-06-2022,1,,21.37,,Jedzenie,,Konto osobiste,
2586,04-06-2022,1,,49.99,,Prezenty,,Konto osobiste,
2587,07-06-2022,1,,230.1,,Wycieczki,Rozrywka,Konto osobiste,
2588,09-06-2022,1,,23.0,,Restauracja,Jedzenie,Konto osobiste,
2589,09-06-2022,1,,4.57,,Jedzenie,,Konto osobiste,
2590,10-06-2022,1,,23.0,,Jedzenie,,Konto osobiste,
2591,10-06-2022,1,,29.0,,Rodzice,,Konto osobiste,
2592,10-06-2022,1,,35.88,,Jedzenie,,Konto osobiste,
2593,11-06-2022,1,Game pass,54.99,,Gry,Rozrywka,Konto osobiste,
2594,13-06-2022,1,,52.99,,Alkohol,Jedzenie,Konto osobiste,
2595,13-06-2022,1,,108.66,,Jedzenie,,Konto osobiste,
2596,13-06-2022,1,,700.0,,Czynsz,Dom,Konto osobiste,
2597,15-06-2022,1,,45.2,,Restauracja,Jedzenie,Konto osobiste,
2598,15-06-2022,1,,5.38,,Jedzenie,,Konto osobiste,
2599,15-06-2022,1,,50.85,,Jedzenie,,Konto osobiste,
2600,15-06-2022,1,,25.96,,Alkohol,Jedzenie,Konto osobiste,
2601,17-06-2022,1,,59.38,,Jedzenie,,Konto osobiste,
2602,19-06-2022,1,,30.0,,Telefon,Dom,Konto osobiste,
2603,19-06-2022,1,,53.0,,Restauracja,Jedzenie,Konto osobiste,
2604,19-06-2022,1,,94.9,,Akcesoria,Elektronika,Konto osobiste,
2605,20-06-2022,1,,69.99,,Zdrowie i uroda,,Konto osobiste,
2606,20-06-2022,1,,100.0,,Prezenty,,Konto osobiste,
2607,20-06-2022,1,,41.22,,Jedzenie,,Konto osobiste,
2608,21-06-2022,1,,60.0,,Fryzjer,Zdrowie i uroda,Konto osobiste,
2609,21-06-2022,0,Zwrot za kurs z angielskiego ,1200.0,,Kursy,Praca,Konto osobiste,
2610,21-06-2022,1,,37.58,,Jedzenie,,Konto osobiste,
2611,21-06-2022,1,,27.97,,�rodki czysto�ci,Dom,Konto osobiste,
2612,21-06-2022,1,,7.11,,Jedzenie,,Konto osobiste,
2613,22-06-2022,1,,7.5,,Jedzenie,,Konto osobiste,
2614,23-06-2022,1,,23.0,,Jedzenie,,Konto osobiste,
2615,23-06-2022,1,,11.76,,Jedzenie,,Konto osobiste,
2616,23-06-2022,1,Raty,1207.42,,Telefon,Elektronika,Konto osobiste,
2617,23-06-2022,1,,165.0,,Ksi��ki,Nauka,Konto osobiste,
2618,24-06-2022,1,,12.65,,Jedzenie,,Konto osobiste,
2619,24-06-2022,1,,2.99,,Zdrowie i uroda,,Konto osobiste,
2620,24-06-2022,1,,28.87,,Jedzenie,,Konto osobiste,
2621,24-06-2022,1,,23.66,,Taxi/bolt,Samoch�d,Konto osobiste,
2622,24-06-2022,1,,29.51,,Jedzenie,,Konto osobiste,
2623,25-06-2022,1,,15.5,,Restauracja,Jedzenie,Konto osobiste,
2624,25-06-2022,1,,3.0,,Jedzenie,,Konto osobiste,
2625,25-06-2022,1,,92.0,,Restauracja,Jedzenie,Konto osobiste,
2626,25-06-2022,1,,28.0,,Wycieczki,Rozrywka,Konto osobiste,
2627,25-06-2022,1,,21.6,,Prezenty,,Konto osobiste,
2628,26-06-2022,1,,15.5,,Jedzenie,,Konto osobiste,
2629,27-06-2022,1,,14.0,,Jedzenie,,Konto osobiste,
2630,27-06-2022,1,,47.79,,Jedzenie,,Konto osobiste,
2631,28-06-2022,1,HBO,24.9,,"Netflix, itp.",Rozrywka,Konto osobiste,
2632,29-06-2022,0,,4807.01,,Wyp�ata,Praca,Konto osobiste,
2633,29-06-2022,1,,8.99,,Restauracja,Jedzenie,Konto osobiste,
